customer_id,first_name,last_name,state,birthdate,education,gender,date_account_opened
2200,Gina,Wilson,CA,1973-12-22,Bachelors Degree,M,2008-03-10
2250,Onetha,Ball,CA,1985-04-20,Bachelors Degree,M,2011-04-23
2350,Marianne,Cooper,WA,1936-09-22,Partial High School,M,2008-06-24
2550,Shelly,Lawn,CA,1969-07-11,High School Degree,M,2008-01-04
2600,Katherine,Hilen,WA,1967-09-16,Partial College,F,2011-03-10
2650,Gail,Wojik,CA,1966-05-24,High School Degree,F,2008-11-12
2700,Morris,Caffano,CA,1983-10-24,High School Degree,F,2008-05-03
2750,Elizabeth,Heil,WA,1963-06-07,Partial High School,F,2008-03-10
2800,Nicole,Albrecht,CA,1928-09-02,High School Degree,F,2007-10-13
2850,Zelah,Burror,WA,1950-09-14,Partial High School,M,2009-05-11
2900,Chellie,Nolan,CA,1971-09-20,Partial College,F,2008-06-08
3000,Dante,Taylor,WA,1947-11-14,High School Degree,M,2011-12-07
3100,Kent,Miller,CA,1987-07-17,High School Degree,M,2008-03-12
3200,Debbie,Taro,CA,1989-09-03,Partial High School,M,2007-02-03
3250,Donna,McConnell,WA,1962-05-19,Partial High School,F,2009-04-27
3300,Timothy,Cook,CA,1976-09-19,Bachelors Degree,F,2010-11-13
3350,Harriet,Brooks,OR,1962-12-12,Partial High School,F,2009-07-17
3400,Homer,Vaughn,WA,1976-01-12,High School Degree,F,2009-06-10
3500,Robyn,Phillips,WA,1994-10-14,Partial High School,M,2009-11-04
3550,Darwin,Slominski,OR,1949-05-17,Bachelors Degree,F,2009-08-21
3650,Nancy,Graves,WA,1976-07-06,Partial High School,M,2011-05-12
3700,Eric,Smith,WA,1933-11-06,Partial High School,F,2008-02-06
3750,Berniece,Beltran,CA,1984-07-27,Partial College,M,2009-11-17
3800,Leon,Erickson,CA,1989-12-23,Bachelors Degree,M,2008-03-06
3850,Walter,Trueblood,CA,1995-06-20,High School Degree,M,2009-03-06
3900,Robert,Land,CA,1990-03-22,High School Degree,F,2009-01-07
3950,Martha,Parker,OR,1932-01-05,Partial College,F,2007-12-04
4000,Joy,Rivkin,WA,1952-10-20,Partial High School,F,2010-05-03
4100,Danielle,Miller,CA,1965-03-02,Partial High School,F,2007-08-24
4200,Edward,Ahillas,CA,1964-01-26,Bachelors Degree,M,2010-09-13
4300,William,Moore,CA,1937-04-02,Bachelors Degree,F,2010-02-17
4400,Shawn,Bettinardi,CA,1989-06-23,Partial High School,F,2009-10-07
4450,Kevin,Napier,CA,1931-04-06,Bachelors Degree,F,2011-02-25
4500,Angelita,Gibbs,CA,1931-08-07,Partial High School,F,2007-02-05
4600,James,Hamburg,WA,1937-12-07,Partial High School,F,2008-08-27
4650,Brian,Hodgson,CA,1974-10-09,High School Degree,M,2010-12-06
4700,Kenneth,Hughs,WA,1969-07-11,Partial High School,M,2009-04-15
4750,Ruben,Espinosa,OR,1982-01-06,Partial High School,F,2011-06-19
4800,Jeanene,Chalmers,WA,1951-09-05,High School Degree,M,2008-09-25
4850,Susan,Duenas,WA,1975-09-22,Bachelors Degree,F,2009-05-06
4900,Beverly,Young,OR,1974-07-06,High School Degree,M,2008-12-22
4950,Edna,Leonguerrero,CA,1961-09-06,High School Degree,M,2010-03-24
5000,Franklin,Castillo,OR,1988-04-15,Partial High School,F,2009-02-18
5050,Robin,Purcell,WA,1973-10-21,Partial High School,F,2010-10-07
5150,Diane,Barukh,CA,1953-03-26,Bachelors Degree,F,2009-04-04
5200,Anthony,Ball,CA,1931-08-03,High School Degree,M,2009-03-19
5250,Mary,Wiggins,CA,1939-06-13,Partial College,F,2009-07-21
5300,Gina,Armistead,CA,1966-10-13,Partial High School,M,2010-06-13
5350,Carol,Mitchell,WA,1956-08-19,High School Degree,M,2008-07-22
5400,Susie,Repicky,WA,1976-05-25,Partial High School,F,2010-07-01
5450,Julia,Wilson,CA,1932-12-15,Bachelors Degree,F,2009-06-01
5500,Duane,Howard,OR,1938-09-16,Partial High School,M,2007-06-28
5550,Fraces,Middleton,CA,1953-08-14,Bachelors Degree,F,2010-07-14
5600,Brian,Moore,CA,1942-08-23,High School Degree,F,2008-09-22
5650,Russ,Grande,WA,1931-05-19,High School Degree,M,2007-10-02
5750,Teri,Bishara,CA,1996-11-12,Partial High School,F,2009-06-22
5800,Vincent,Deschner,CA,1937-11-13,Partial College,M,2010-10-18
5850,Matthew,Strobel,WA,1984-06-19,Partial High School,F,2010-01-17
6050,Raymond,Nielsen,CA,1976-10-09,High School Degree,F,2009-08-13
6250,Julia,Welge,CA,1969-06-27,Partial High School,M,2008-04-25
6300,Robert,Chau,WA,1959-02-14,Bachelors Degree,M,2008-08-01
6350,J.,Boyle,OR,1981-09-20,Bachelors Degree,F,2009-10-26
6400,Yvette,Eckley,CA,1929-03-26,High School Degree,M,2010-11-21
6500,Kathleen,Jarrell,CA,1933-05-12,High School Degree,F,2008-09-05
6550,Ben,Avis,CA,1933-01-20,Partial College,M,2010-02-05
6600,Gail,Smith,CA,1983-11-26,Bachelors Degree,F,2011-04-04
6650,Wayne,Caricato,WA,1960-05-17,High School Degree,F,2010-12-28
6700,Jamie,Agnew,WA,1961-09-25,Partial High School,M,2009-11-17
6800,Alexander,Calligan,CA,1951-01-15,Partial College,F,2008-10-08
6850,Terry,Davis,WA,1947-08-14,High School Degree,M,2010-08-11
7050,Diana,Smith,CA,1989-09-17,Partial High School,M,2008-02-12
7100,Eunice,Barton,WA,1991-08-15,Partial High School,F,2008-08-12
7150,Goldie,Yost,CA,1937-07-13,Bachelors Degree,F,2011-10-13
7200,Robert,Borges,OR,1976-04-12,Partial High School,F,2007-05-06
7250,David,Moss,OR,1951-06-19,High School Degree,M,2007-07-11
7300,Marie,Lucero,CA,1988-07-23,Partial High School,F,2009-09-14
7350,David,Turner,CA,1987-03-04,Partial High School,F,2009-10-20
7400,Mike,Berdahl,CA,1975-02-10,Partial High School,M,2010-06-27
7450,Geneva,Willems,WA,1945-07-02,Bachelors Degree,M,2010-06-02
7650,Lynda,Swift,CA,1927-08-02,Graduate Degree,M,2010-03-26
7750,Ruth,Culp,WA,1944-10-08,Partial College,F,2010-11-19
7800,Pearl,Stephens,OR,1972-07-13,High School Degree,F,2010-06-20
7850,John,Weaver,CA,1983-06-17,Partial High School,F,2009-10-22
7900,Kristin,Singh,CA,1978-03-19,High School Degree,F,2008-02-06
7950,Danny,Arteaga,CA,1935-05-27,High School Degree,F,2009-04-10
8000,Tyrone,Monroe,CA,1974-02-26,Bachelors Degree,M,2011-10-27
8050,Raja,Allio,CA,1968-12-20,Partial High School,F,2007-03-23
8100,Betty,Bingham,CA,1934-01-24,Bachelors Degree,F,2007-02-24
8150,Linda,DeHaven,CA,1996-05-12,Bachelors Degree,M,2009-04-14
8200,Helen,Baker,CA,1949-08-24,Partial High School,M,2009-09-10
8250,Jill,Haseman,WA,1992-11-19,Partial High School,F,2010-11-09
8300,Jennifer,Devlin,WA,1984-03-12,Bachelors Degree,F,2008-07-14
8500,Nicole,Holmes,WA,1989-03-07,Partial College,M,2009-10-13
8550,Mary Ruth,Pina,OR,1957-03-12,Partial High School,M,2010-07-25
8600,Richard,Wellington,CA,1966-02-04,High School Degree,M,2011-03-16
8650,Chaim,Schnoll,CA,1934-01-05,Bachelors Degree,M,2011-04-07
8700,Maria,Sylva,CA,1978-03-12,High School Degree,F,2008-02-10
8750,Toni,Thomason,CA,1952-10-01,High School Degree,M,2010-06-17
8800,Kathy,Harvey,WA,1961-07-03,High School Degree,M,2007-10-19
8850,Lisa,Anderson,OR,1953-01-20,High School Degree,F,2010-06-24
9000,Chanin,Coder,WA,1933-08-09,Partial High School,M,2008-06-12
9050,Stacy,McGuire,OR,1964-10-05,High School Degree,M,2010-05-03
9100,Jason,Donlon,CA,1961-02-25,Bachelors Degree,M,2008-10-12
9200,Anne,Allard,WA,1940-04-19,Partial High School,F,2011-09-03
9300,Michael,Haines,CA,1949-12-13,Partial High School,M,2007-12-26
9350,Betsy,Sallee,CA,1991-02-05,Bachelors Degree,M,2011-04-08
9400,Shari,Aubin,CA,1991-06-13,Partial High School,M,2011-07-23
9500,Kelly,Jensen,CA,1962-04-01,Bachelors Degree,M,2008-04-04
9550,Tammy,Genchi,CA,1963-06-12,Graduate Degree,M,2007-05-18
9600,Amy,Thomas,CA,1988-06-24,Bachelors Degree,M,2008-03-21
9700,Larry,Tilton,CA,1955-06-21,Bachelors Degree,M,2008-03-27
9800,Geneva,Thatcher,WA,1947-03-19,High School Degree,M,2010-09-26
9850,Barry,Slominski,WA,1927-03-02,High School Degree,M,2010-11-25
9900,Arnold,Sears,WA,1994-07-10,Partial High School,M,2008-10-16
10050,Cheryl,Martinez,CA,1968-01-18,Bachelors Degree,M,2009-05-27
10100,Jack,Clark,WA,1958-04-04,Bachelors Degree,F,2008-05-09
10150,Robert,Lowe,WA,1963-07-18,Partial High School,M,2008-01-18
10200,Regina,Sorensen,OR,1942-12-15,Partial College,M,2007-11-08
10250,Eugene,Bowman,WA,1976-11-18,Partial High School,M,2008-02-11
